No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
1,06/01/2025,Vente,42500000,64,,CHE,180,DE L' ETANG RATIER,1390,RANCE,1,318,,A,950,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,AG,,777
1,09/01/2025,Vente,116500000,171,,RUE,245,DES MORILLES,1710,THOIRY,1,419,,BT,214,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,860
1,09/01/2025,Vente,116500000,171,,RUE,245,DES MORILLES,1710,THOIRY,1,419,,BT,214,,,,,,,,,,,,0,1,Maison,,190,5,S,,860
1,09/01/2025,Vente,116500000,171,,RUE,245,DES MORILLES,1710,THOIRY,1,419,,BT,214,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,860
2,07/01/2025,Vente,63000000,390,,RUE,142,VIE CREUSE,1550,POUGNY,1,308,,B,1495,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,761
2,07/01/2025,Vente,63000000,390,,RUE,142,VIE CREUSE,1550,POUGNY,1,308,,B,1495,,,,,,,,,,,,0,1,Maison,,100,3,S,,761
1,09/01/2025,Vente,657000,,,,B042,SUR LA COTE,1250,SIMANDRE-SUR-SURAN,1,408,,E,204,,,,,,,,,,,,0,,,,,,L,FRICH,748
1,09/01/2025,Vente,657000,,,,B042,SUR LA COTE,1250,SIMANDRE-SUR-SURAN,1,408,,E,205,,,,,,,,,,,,0,,,,,,L,FRICH,1650
1,09/01/2025,Vente,657000,,,,B098,LONGS CHAMPS,1250,SIMANDRE-SUR-SURAN,1,408,,E,509,,,,,,,,,,,,0,,,,,,T,,3327
1,09/01/2025,Vente,657000,,,,B141,A LA RONGE,1250,SIMANDRE-SUR-SURAN,1,408,,E,534,,,,,,,,,,,,0,,,,,,T,,6019
1,09/01/2025,Vente,657000,,,,B141,A LA RONGE,1250,SIMANDRE-SUR-SURAN,1,408,,E,535,,,,,,,,,,,,0,,,,,,T,,3672
1,09/01/2025,Vente,657000,,,,B141,A LA RONGE,1250,SIMANDRE-SUR-SURAN,1,408,,E,536,,,,,,,,,,,,0,,,,,,T,,9721
1,09/01/2025,Vente,31400000,110,,RUE,1984,JEAN LOUIS MASSOT,1000,BOURG-EN-BRESSE,1,53,,CD,311,,,,,,,,,,,,0,1,Maison,,144,6,S,,983
1,09/01/2025,Vente,31400000,110,,RUE,1984,JEAN LOUIS MASSOT,1000,BOURG-EN-BRESSE,1,53,,CD,311,,,,,,,,,,,,0,3,D¨¦pendance,,0,0,S,,983
1,06/01/2025,Vente,41466500,124,,CHE,32,DE CHAMP JOURNET,1630,CHALLEX,1,78,,B,218,,11,6571,21,,,,,,,,2,3,D¨¦pendance,,0,0,,,
1,06/01/2025,Vente,41466500,124,,CHE,32,DE CHAMP JOURNET,1630,CHALLEX,1,78,,B,218,,64,,,,,,,,,,1,3,D¨¦pendance,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
